id,name,form,commonDose,usage,indications,contraindications,interactions,sideEffects,pregnancy,formula,maxDose,frequency,source,maxDaily,category,dividedDose
vitamin_b_complex,قرص ویتامین B کمپلکس,قرص,500 میلی‌گرم روزی یک بار,خوراکی,کمبود ویتامین B، ضعف عمومی,حساسیت,الکل,ادرار زرد، تهوع,بله,1-2 mg/kg/day,100 mg,روزانه,NIH Guidelines 2023,100 mg,مکمل,یک بار در روز
azelastine,آزلستین,اسپری بینی,0.1 میلی‌گرم/puff روزی دو بار,استنشاقی,آلرژی بینی,رینیت باکتریایی,الکل,سوزش بینی,بله,0.1-0.2 mg/kg/day,0.28 mg,روزانه,Allergy Guidelines 2023,0.28 mg,آنتی هیستامین بینی,دو بار در روز
calcium_carbonate,قرص جوشان کلسیم,قرص,500 میلی‌گرم روزی یک بار,در آب حل شود,کمبود کلسیم، پوکی استخوان,هایپرکلسمی,دیگوکسین,یبوست,بله,500-1000 mg/day,1000 mg,روزانه,Endocrinology Guidelines 2023,1000 mg,مکمل,یک بار در روز
,Amoxicillin‑Clavulanate,قرص,500 میلی‌گرم/125 میلی‌گرم,خوراکی,عفونت تنفسی، سینوزیت,,,,,,2 g/day,,,,آنتی‌بیوتیک,هر 12 ساعت
,Cefixime,قرص,400 میلی‌گرم,خوراکی,عفونت ادراری، گلو,,,,,,400 mg/day,,,,سفالوسپورین,روزی یکبار
,Cephalexin,کپسول,500 میلی‌گرم,خوراکی,پوست، ادراری,,,,,,4 g/day,,,,سفالوسپورین,هر 6 ساعت
,Pantoprazole,قرص,40 میلی‌گرم,خوراکی,ریفلاکس، زخم معده,,,,,,40 mg/day,,,,ضد اسید,روزی یکبار
,Paracetamol,قرص,500 میلی‌گرم,خوراکی,تب، درد خفیف,,,,,,4000 mg/day,,,,مسکن OTC,هر 4–6 ساعت
,Ibuprofen,قرص,400 میلی‌گرم,خوراکی,درد، التهاب,,,,,,1200 mg/day,,,,NSAID OTC,هر 6–8 ساعت
,Naproxen,قرص,220 میلی‌گرم,خوراکی,درد، قاعدگی,,,,,,660 mg/day,,,,NSAID OTC,هر 8–12 ساعت
,Diclofenac,قرص,50 میلی‌گرم,خوراکی,التهاب مفاصل,,,,,,150 mg/day,,,,NSAID,2–3 بار در روز
,Azithromycin,قرص,250 میلی‌گرم,خوراکی,عفونت تنفسی، گوش,,,,,,500 mg/day,,,,ماکرولید,روزی یکبار
,Ceftriaxone,تزریقی,۱ گرم تزریقی داخل عضلانی یا وریدی,تزریقی,مننژیت، ذات‌الریه,,,,,,4 g/day,,,,سفالوسپورین تزریقی,روزی یکبار
